,County,State,Longitude,Latitude,Landfill Closure Year,Current Landfill Status,Design Landfill Area (acres),Current Landfill Area (acres),Design Landfill Depth (feet),Current Landfill Depth (feet),Landfill Design Capacity (tons),Waste in Place (tons),Annual Waste Acceptance Rate (tons per year),Designed Volume (acres^3),Current Volume Current (acres^3),Percent Available,Years until Fill,Years to Planned Closure,Difference in Years to fill and planned closure
0,Anchorage,AK,-149.602138,61.293281,2043.0,Open,165.0,112.0,300.0,150.0,27104639.0,10707395.0,307028.0,1.1363616,0.38567424,0.6606060606060606,53.41,20.0,33.41
1,Juneau,AK,-134.4947,58.3528,2052.0,Open,35.0,,,38.0,1814421.0,978777.0,27974.0,,,,29.87,29.0,0.870000000000001
2,Kenai Peninsula,AK,-151.107896,60.443004,2042.0,Open,,24.8,,,2703698.0,1766247.0,44448.0,,,,21.09,19.0,2.09
5,Matanuska-Susitna,AK,-149.21,61.59,2150.0,Open,,,,45.0,41974220.0,2107165.0,86485.0,,,,460.97,127.0,333.97
6,Fairbanks North Star,AK,-147.70085,64.80476,2088.0,Open,,97.7,,,10518622.0,4602053.0,102947.0,,,,57.47,65.0,-7.530000000000001
8,Perry,AL,-87.4685,32.413,2099.0,Open,425.3,,,,63278380.0,5505276.0,708064.0,,,,81.59,76.0,5.590000000000003
11,Tuscaloosa,AL,-87.66585,33.24314,2037.0,Open,220.0,80.3,,,9826872.0,7978193.0,352153.0,,,,5.25,14.0,-8.75
13,Pike,AL,-85.8299,31.7041,2397.0,Open,,,,,23947035.0,886054.0,59.0,,,,390864.08,374.0,390490.08
16,Mobile,AL,-88.02503,31.06179,2151.0,Open,199.0,102.6,,116.0,34201127.0,7985345.0,208887.0,,0.27322265088,,125.5,128.0,-2.5
18,Morgan,AL,-87.10163,34.6175,2051.0,Open,223.4,72.0,80.0,60.0,11360146.0,6556314.0,234769.0,0.4102839296,0.09917337600000001,0.7582811101163831,20.46,28.0,-7.539999999999999
19,Houston,AL,-85.356721,31.238766,2071.0,Open,49.3,,,,5666850.0,3860211.0,26649.0,,,,67.79,48.0,19.790000000000006
20,Coffee,AL,-86.000975,31.507053,2048.0,Open,450.0,61.6,,60.0,6765340.0,4471043.0,256681.0,,0.0848483328,,8.94,25.0,-16.060000000000002
22,Cullman,AL,-86.90069,34.02878,2040.0,Open,,29.0,,60.0,2937045.0,2062592.0,97965.0,,0.039944832,,8.93,17.0,-8.07
23,Jefferson,AL,-86.6288,33.5978,2038.0,Open,72.0,48.0,,,5421445.0,4435147.0,39947.0,,,,24.69,15.0,9.690000000000001
26,Madison,AL,-86.592,34.6885,2060.0,Open,215.0,191.0,40.0,,,12774177.0,422697.0,0.19742848,,,,37.0,
28,Jefferson,AL,-86.873,33.711,2060.0,Open,163.7,70.4,,,18952387.0,6030109.0,463145.0,,,,27.9,37.0,-9.100000000000001
29,Jefferson,AL,-86.7104,33.7077,2100.0,Open,,65.9,,,3483997.0,1665315.0,1.0,,,,1818682.0,77.0,1818605.0
30,Baldwin,AL,-87.7761,30.45727,2036.0,Open,96.0,47.9,,10.0,6408237.0,4541582.0,204333.0,,0.0109963072,,9.14,13.0,-3.8599999999999994
32,Lawrence,AL,-87.22116,34.70381,2061.0,Open,148.0,55.0,,,16643163.0,6893051.0,283520.0,,,,34.39,38.0,-3.6099999999999994
33,Jefferson,AL,-86.815,33.585,2030.0,Open,,149.0,60.0,,9644756.0,7781050.0,7034.0,,,,264.96,7.0,257.96
34,Montgomery,AL,-86.3245,32.4131,2040.0,Open,348.0,48.7,,,,11174342.0,212646.0,,,,,17.0,
35,Walker,AL,-87.04981,33.71458,2025.0,Open,166.0,87.2,,75.0,20503092.0,11211806.0,234872.0,,0.150137472,,39.56,2.0,37.56
36,Lee,AL,-85.2636,32.65347,2069.0,Open,222.0,107.0,,,33432502.0,13007547.0,468746.0,,,,43.57,46.0,-2.4299999999999997
37,DeKalb,AL,-85.862,34.342,2063.0,Open,318.9,83.0,,,28041435.0,10248803.0,523669.0,,,,33.98,40.0,-6.020000000000003
39,Jackson,AL,-85.919,34.756,2025.0,Open,,97.0,,65.0,,1142867.0,49152.0,,0.14474262400000001,,,2.0,
41,Shelby,AL,-86.687566,33.171785,2055.0,Open,89.5,35.5,60.0,50.0,4520250.0,3789558.0,207795.0,0.123278016,0.04074832,0.6694599627560522,3.52,32.0,-28.48
43,St. Clair,AL,-86.51658,33.60527,2128.0,Open,308.0,47.1,,75.0,43939474.0,5375496.0,255744.0,,0.081094896,,150.79,105.0,45.78999999999999
44,Tallapoosa,AL,-85.8311,32.5154,2063.0,Open,124.6,45.3,,,30502398.0,7157832.0,298162.0,,,,78.29,40.0,38.290000000000006
45,Cherokee,AL,-85.7254,33.9962,2171.0,Open,,67.0,,,30307137.0,5680508.0,176047.0,,,,139.89,148.0,-8.110000000000014
