,County,State,Longitude,Latitude,Landfill Closure Year,Current Landfill Status,Design Landfill Area (acres),Current Landfill Area (acres),Design Landfill Depth (feet),Current Landfill Depth (feet),Landfill Design Capacity (tons),Waste in Place (tons),Annual Waste Acceptance Rate (tons per year),Volume Design,Volume Current,Percent Available,Years to Fill
1197,Manistee,MI,-86.26532,44.1757,2087.0,Open,,68.6,,,13243098.0,5890422.0,158633.0,,,,46.35022977564567
1198,Marquette,MI,-87.471525,46.48959,2033.0,Open,,,,,2745225.0,1286874.0,67256.0,,,,21.683582133936007
1199,Jackson,MI,-84.3698,42.2913,2024.0,Open,,25.1,,,2376500.0,2195087.0,76129.0,,,,2.3829683826137216
1200,Menominee,MI,-87.62938,45.17373,2064.0,Open,,50.0,,,7657620.0,5788140.0,159554.0,,,,11.716910889103376
1201,Montmorency,MI,-84.12,44.935,2040.0,Open,,57.1,,,3086565.0,2541861.0,91094.0,,,,5.979581531165609
1202,Muskegon,MI,-85.9905,43.2351,2024.0,Open,80.0,65.5,78.0,40.0,3911542.0,3675962.0,174259.0,6240.0,2620.0,0.5801282051282051,1.3518957413964272
1203,Clare,MI,-84.798,43.993,2075.0,Open,,50.2,,,13403205.0,4645255.0,253114.0,,,,34.60081228221276
1204,Oakland,MI,-83.24873,42.70846,2024.0,Open,106.0,99.8,,110.0,19148131.0,18529224.0,358061.0,,10978.0,,1.7284959825281168
1205,Berrien,MI,-86.28116,42.17127,2055.0,Open,283.0,102.3,180.0,118.0,20639329.0,6416063.0,246752.0,50940.0,12071.4,0.7630270906949352,57.64194819089612
1206,Ottawa,MI,-85.95682,43.0502,2071.0,Open,242.3,160.5,,87.0,65589451.0,29261307.0,792185.0,,13963.5,,45.858156869923064
1207,Saginaw,MI,-83.869,43.2802,2043.0,Open,105.0,89.5,,,15225834.0,11814591.0,229078.0,,,,14.891185535057929
1208,Macomb,MI,-82.7456,42.7649,2039.0,Open,361.0,238.0,,130.0,88512501.0,49788724.0,2689643.0,,30940.0,,14.39736686244234
1209,Ionia,MI,-85.184846,43.102915,,Open,143.5,,,,,,304479.0,,,,
1211,Wayne,MI,-83.21208,42.15621,2031.0,Open,213.0,211.3,200.0,120.0,39006679.0,24318405.0,666537.0,42600.0,25356.0,0.4047887323943662,22.03669713759326
1213,Wayne,MI,-83.4563,42.2744,2033.0,Open,161.0,147.0,,133.0,35920234.0,25205945.0,640031.0,,19551.0,,16.74026570587987
1215,St. Clair,MI,-82.59168,42.91743,2129.0,Open,158.0,138.0,90.0,70.0,29779152.0,9469446.0,355426.0,14220.0,9660.0,0.32067510548523204,57.14186919358741
1216,Berrien,MI,-86.32723,41.81354,2033.0,Open,160.0,58.4,122.0,122.0,10266746.0,6770924.0,207991.0,19520.0,7124.8,0.635,16.807563788817784
1218,Sanilac,MI,-82.7318,43.437,2171.0,Open,124.0,55.0,,61.0,21051483.0,3287334.0,33512.0,,3355.0,,530.0832239197899
1219,Shiawassee,MI,-83.972657,42.979932,2046.0,Open,,128.0,,,20139094.0,11524220.0,303617.0,,,,28.374149010101544
1220,Monroe,MI,-83.50908,41.7329,2029.0,Open,226.0,140.2,,,24431605.0,22336575.0,454558.0,,,,4.608938793289306
1221,Crawford,MI,-84.68,44.855,2171.0,Open,,103.5,,,23634126.0,5718750.0,83607.0,,,,214.28081380745633
1223,St. Joseph,MI,-85.692,41.91555,2117.0,Open,,81.2,,,54367505.0,14378773.0,394335.0,,,,101.40802109881193
1224,Wexford,MI,-85.3994,44.3528,2060.0,Open,452.0,33.2,,,12987450.0,5107664.0,511277.0,,,,15.411970419166128
1226,Bay,MI,-83.9482,43.8963,2030.0,Open,58.0,44.6,,66.0,6195598.0,4611201.0,160265.0,,2943.6,,9.886107384644182
1227,Alger,MI,-86.59535,46.37663,2044.0,Open,163.5,,,,3093316.0,1760609.0,61328.0,,,,21.73080811374902
1228,Wayne,MI,-83.4315,42.2652,2040.0,Open,283.0,,182.0,,129993114.0,62474543.0,3709930.0,51506.0,,,18.19941912650643
1232,Blue Earth,MN,-94.093,44.123,2036.0,Open,67.0,38.1,,,2470960.0,1940321.0,108313.0,,,,4.899125682051093
1233,Brown,MN,-94.597,44.281,2036.0,Open,,,,,,480000.0,14659.0,,,,
1234,Dakota,MN,-93.319,44.782,2091.0,Open,,170.8,,79.0,21769180.0,15323865.0,184911.0,,13493.2,,34.85630925147774
1235,Clay,MN,-96.412,46.8357,2055.0,Open,107.0,40.0,,,,,27866.0,,,,
